user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
kyliejenner,6654362767867265030,6951976455400099077,time goes too fast 😥😥🤍,1618633159,9,https://www.tiktok.com/@kyliejenner/video/6951976455400099077?lang=en,17300000,53700,87200,71700000
funnydoganimal,6956505848701600773,6956553985121717510,Happydog#fpy #happydog #dog #doggy #doghigh #tiktokdog #cut#happy,1619698948,10,https://www.tiktok.com/@funnydoganimal/video/6956553985121717510?lang=en,970500,81600,13800,5500000
vaneamaro91,6811703970856469510,6930421023821073670,Link in my bio just in case you’re interested . Discount code: Vanesa10 @scrubdaddy #ad #cleaningtiktok #cleaninghacks #housekeeper #cleanwithme #fy,1613614403,8,https://www.tiktok.com/@vaneamaro91/video/6930421023821073670?lang=en,880100,32700,6673,17400000
kaitlin_olson,6917426881252901893,6950758979605728518,Thicc ponies only 🍑 #fyp #bodychallenge #horsesontiktok #bodyodyyodyyodyyodyyoduyyyodyyoduyyuuyy #booty,1618349691,8,https://www.tiktok.com/@kaitlin_olson/video/6950758979605728518?lang=en,4300000,435600,228700,31800000
pets,6827096839729529862,6955474168100048134,This dog deserves an Oscar! 😂 @tythesamurai #petsoftiktok #oscars #dogsoftiktok #actor,1619447532,12,https://www.tiktok.com/@pets/video/6955474168100048134?lang=en,684600,114300,13000,5800000
aylla_d,6581592332323454982,6955860074027961605,#fyp,1619537382,10,https://www.tiktok.com/@aylla_d/video/6955860074027961605?lang=en,1200000,18400,3292,6500000
fattysav3,6723705731629040645,6957013991268896005,He Won’t Put Up A Fight 🤦🏼‍♂️ #fyp #foryoupage #fypage,1619806048,8,https://www.tiktok.com/@fattysav3/video/6957013991268896005?lang=en,3600000,260400,224200,22100000
rzyqe,6942879102241375238,6956193141460339973,#greenscreen #fyp Share!!! #TikTokGGT #xyzbca #viral #friends #rappers,1619614932,10,https://www.tiktok.com/@rzyqe/video/6956193141460339973?lang=en,453600,76900,75800,4300000
mortythemisfit,6902660102034277382,6931126571071802630,Dinner Patrol 😎 #mortythemisfit #hustler #kneestochest #fancyfeet #shuffle #dogsoftiktok #rescueloverepeat #adoptdontshop #chihuahuafanclub #happydog,1613778673,32,https://www.tiktok.com/@mortythemisfit/video/6931126571071802630?lang=en,3500000,727100,67800,23900000
lifeofbeckham,3163184,6930719522429078790,Beck spitting 🔥 #bustarhymes #lookatmenow #chrisbrown #fyp #baby #chaingang,1613683898,14,https://www.tiktok.com/@lifeofbeckham/video/6930719522429078790?lang=en,2900000,553800,35500,31000000
..sunny.blissss,6957022811403584517,6957033731177647366,#greenscreen,1619810644,12,https://www.tiktok.com/@..sunny.blissss/video/6957033731177647366?lang=en,388900,41100,29800,2000000
howieazy,8739330,6955941229192400134,Little siblings always have it their way 😩 #fyp #dontbesurprised #TikTokGGT #siblings #howieazy #foryou #viral,1619556277,31,https://www.tiktok.com/@howieazy/video/6955941229192400134?lang=en,891400,24200,13800,5300000
twizzony,6585951013352734722,6954807588349283590,Tag friends 😂 #fyp #comedy #viral #like,1619292330,13,https://www.tiktok.com/@twizzony/video/6954807588349283590?lang=en,414300,37400,15800,2000000
arely.marie,6894756672753943558,6954726846575529221,#Inverted 😍😍,1619273532,8,https://www.tiktok.com/@arely.marie/video/6954726846575529221?lang=en,376200,714,1123,2600000
charles10086,6940077147491517445,6956420600118152453,#doggy #puppy #dogofticktok #fyp #foryou,1619667892,10,https://www.tiktok.com/@charles10086/video/6956420600118152453?lang=en,118000,18800,1098,3100000
khaby.lame,127905465618821121,6957309220643458310,Dalla terra alla luna \From land to moon#learnfromkhaby #LearnWithTikTok #ImparaConTikTok,1619874788,10,https://www.tiktok.com/@khaby.lame/video/6957309220643458310?lang=en,8300000,26600,37900,56700000
johnnyboyy2550,6653293347773562885,6927001335388785926,Who can relate to this!😅Especially in a Hispanic Household!! #fyp #foryou #foryoupage #xyzbca #latino #hispanic #sleepover #cloudy,1612818191,14,https://www.tiktok.com/@johnnyboyy2550/video/6927001335388785926?lang=en,3900000,171100,68500,31100000
normely2,6640042091538481157,6943080591558593798,#fyp #hack ￼￼#musttry #itworks,1616561934,14,https://www.tiktok.com/@normely2/video/6943080591558593798?lang=en,752800,90600,5444,15000000
foodqood,6812963291129562118,6950151666976951557,Follow my YouTube channel #foodqood,1618208297,13,https://www.tiktok.com/@foodqood/video/6950151666976951557?lang=en,5100000,352900,27300,70400000
jimmyfallon,6600793442431123462,6959366630749048070,Giving it our best shot @jessicaalba @fallontonight #NotAPhoto,1620353817,10,https://www.tiktok.com/@jimmyfallon/video/6959366630749048070?lang=en,2000000,2469,9821,10500000
briquiqui,259943651101904896,6954791110917098758,#Inverted you guys are crying bc ur finger is crooked. i’m crying because i have toe thumbs 4 life,1619288494,8,https://www.tiktok.com/@briquiqui/video/6954791110917098758?lang=en,657500,23100,20600,5700000
khaby.lame,127905465618821121,6952848246062583045,Crediti @neumane,1618836138,15,https://www.tiktok.com/@khaby.lame/video/6952848246062583045?lang=en,15500000,157300,78800,109000000
